fx12	fx34	fy14	fy23	fz1	fz2	fz3	fz4	fx	fy	fz	mx	my	mz	msx	msy	ax	ay	tz
0.018	-0.018	0.028	-0.028	0.000	0.000	-0.003	0.000	-0.006	-0.019	-0.391	0.098	-0.088	0.002	0.099	-0.088	0.000	0.000	0.000
0.020	-0.017	0.027	-0.029	0.000	0.001	0.000	0.000	0.170	-0.117	0.127	0.051	0.018	-0.021	0.053	0.022	0.000	0.000	0.000
0.019	-0.019	0.028	-0.029	0.000	-0.001	-0.002	-0.001	0.013	-0.078	-0.435	0.063	-0.050	-0.042	0.064	-0.049	0.000	0.000	0.000
0.020	-0.019	0.027	-0.030	0.000	0.000	-0.002	0.000	0.052	-0.195	-0.305	0.051	-0.042	-0.036	0.055	-0.041	0.000	0.000	0.000
0.019	-0.019	0.027	-0.028	0.001	0.002	-0.002	-0.001	-0.006	-0.097	-0.089	0.229	0.026	-0.054	0.231	0.026	0.000	0.000	0.000
0.020	-0.018	0.028	-0.030	0.002	-0.001	-0.001	-0.001	0.091	-0.136	-0.132	0.122	-0.042	-0.015	0.125	-0.040	0.000	0.000	0.000
0.019	-0.019	0.028	-0.028	0.000	0.001	0.000	0.000	0.013	-0.039	0.041	0.075	0.018	-0.039	0.075	0.019	0.000	0.000	0.000
0.019	-0.018	0.028	-0.029	-0.001	0.000	-0.001	0.000	0.013	-0.058	-0.305	0.003	-0.012	-0.018	0.005	-0.012	0.000	0.000	0.000
0.019	-0.019	0.027	-0.029	0.001	0.000	-0.003	-0.001	0.013	-0.136	-0.348	0.182	-0.095	-0.039	0.185	-0.095	0.000	0.000	0.000
0.020	-0.017	0.028	-0.029	0.001	0.000	-0.001	0.000	0.150	-0.078	0.041	0.098	-0.057	-0.009	0.100	-0.054	0.000	0.000	0.000
0.020	-0.016	0.028	-0.029	0.001	0.000	-0.002	0.000	0.209	-0.078	-0.175	0.086	-0.065	0.007	0.088	-0.060	0.000	0.000	0.000
0.019	-0.017	0.028	-0.028	0.000	0.001	-0.002	0.000	0.150	0.000	-0.046	0.146	-0.042	-0.012	0.146	-0.039	0.000	0.000	0.000
0.020	-0.019	0.026	-0.029	-0.001	-0.001	0.000	0.000	0.072	-0.156	-0.262	-0.056	-0.004	-0.072	-0.053	-0.003	0.000	0.000	0.000
0.019	-0.018	0.028	-0.028	0.000	0.000	0.000	-0.001	0.091	-0.039	-0.219	0.027	0.018	-0.017	0.028	0.020	0.000	0.000	0.000
